date,Open,High,Low,Close,거래량,거래대금,상장시가총액,Change,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210831,1032.77,1038.33,1026.36,1038.33,1243473897,13623900000000.0,438023000000000.0,0.628973484,일반언론,0.24431818181818182,0.09090909090909091,0.6647727272727273,704.0,네이버금융,0.2631578947368421,0.631578947368421,0.10526315789473684,19,172.0,64.0,468.0,5.0,12.0,2.0
20210901,1038.09,1046.0,1035.09,1045.98,1145478500,12022600000000.0,440813000000000.0,0.73675999,일반언론,0.3195718654434251,0.12996941896024464,0.5504587155963303,654.0,네이버금융,0.5,0.3333333333333333,0.16666666666666666,18,209.0,85.0,360.0,9.0,6.0,3.0
20210902,1048.15,1048.2,1042.36,1047.19,1292476797,11427900000000.0,441260000000000.0,0.115680988,일반언론,0.2795549374130737,0.10152990264255911,0.6189151599443672,719.0,네이버금융,0.7647058823529411,0.11764705882352941,0.11764705882352941,17,201.0,73.0,445.0,13.0,2.0,2.0
20210903,1049.81,1054.53,1047.12,1053.85,1435361402,12103400000000.0,444099000000000.0,0.635987739,일반언론,0.30362537764350456,0.1042296072507553,0.5921450151057401,662.0,네이버금융,0.35714285714285715,0.42857142857142855,0.21428571428571427,14,201.0,69.0,392.0,5.0,6.0,3.0
20210906,1056.3,1056.3,1049.27,1052.96,1331555858,10880600000000.0,444025000000000.0,-0.0844522465,일반언론,0.2917063870352717,0.09914204003813155,0.6091515729265967,1049.0,네이버금융,0.6363636363636364,0.09090909090909091,0.2727272727272727,22,306.0,104.0,639.0,14.0,2.0,6.0
20210907,1054.03,1054.76,1049.8,1054.43,1568516031,11912900000000.0,444755000000000.0,0.139606443,일반언론,0.2406576980568012,0.11061285500747384,0.648729446935725,669.0,네이버금융,0.6,0.26666666666666666,0.13333333333333333,15,161.0,74.0,434.0,9.0,4.0,2.0
20210908,1053.46,1053.46,1037.22,1037.22,1479336261,11490300000000.0,437822000000000.0,-1.632161452,일반언론,0.23809523809523808,0.08630952380952381,0.6755952380952381,672.0,네이버금융,0.875,0.0625,0.0625,16,160.0,58.0,454.0,14.0,1.0,1.0
20210909,1033.97,1042.04,1027.64,1034.62,1414153405,11120000000000.0,436799000000000.0,-0.25067006,일반언론,0.2764456981664316,0.1071932299012694,0.616361071932299,709.0,네이버금융,0.9285714285714286,0.0,0.07142857142857142,14,196.0,76.0,437.0,13.0,0.0,1.0
20210910,1035.86,1039.73,1026.97,1037.91,1378379001,11346300000000.0,438789000000000.0,0.317991147,일반언론,0.2839160839160839,0.08391608391608392,0.6321678321678321,715.0,네이버금융,0.3125,0.5,0.1875,16,203.0,60.0,452.0,5.0,8.0,3.0
20210913,1036.86,1037.5,1023.98,1026.34,1261320042,11293300000000.0,433474000000000.0,-1.114740199,일반언론,0.2797270955165692,0.09649122807017543,0.6237816764132553,1026.0,네이버금융,0.7777777777777778,0.05555555555555555,0.16666666666666666,18,287.0,99.0,640.0,14.0,1.0,3.0
20210914,1029.57,1038.94,1028.4,1037.74,1157085076,10835000000000.0,438236000000000.0,1.110743029,일반언론,0.28469241773962806,0.10157367668097282,0.6137339055793991,699.0,네이버금융,0.35714285714285715,0.2857142857142857,0.35714285714285715,14,199.0,71.0,429.0,5.0,4.0,5.0
20210915,1039.57,1044.26,1038.8,1042.79,1438562152,10981000000000.0,440310000000000.0,0.486634417,일반언론,0.270392749244713,0.10574018126888217,0.6238670694864048,662.0,네이버금융,0.5294117647058824,0.47058823529411764,0.0,17,179.0,70.0,413.0,9.0,8.0,0.0
20210916,1047.85,1048.37,1037.72,1039.43,1131795685,9824590000000.0,438750000000000.0,-0.322212526,일반언론,0.258493353028065,0.1344165435745938,0.6070901033973413,677.0,네이버금융,0.8666666666666667,0.13333333333333333,0.0,15,175.0,91.0,411.0,13.0,2.0,0.0
20210917,1040.73,1046.13,1033.69,1046.12,1160928052,10015700000000.0,441460000000000.0,0.643621985,일반언론,0.24714285714285714,0.11428571428571428,0.6385714285714286,700.0,네이버금융,0.5882352941176471,0.35294117647058826,0.058823529411764705,17,173.0,80.0,447.0,10.0,6.0,1.0
20210923,1040.38,1043.58,1036.25,1036.26,968174945,8944860000000.0,437575000000000.0,-0.942530494,일반언론,0.3017656500802568,0.1332263242375602,0.565008025682183,623.0,네이버금융,0.5294117647058824,0.4117647058823529,0.058823529411764705,17,188.0,83.0,352.0,9.0,7.0,1.0
20210924,1040.43,1045.21,1034.8,1037.03,1306783503,11609000000000.0,438343000000000.0,0.0743056762,일반언론,0.33779761904761907,0.09077380952380952,0.5714285714285714,672.0,네이버금융,0.42857142857142855,0.42857142857142855,0.14285714285714285,14,227.0,61.0,384.0,6.0,6.0,2.0
20210927,1037.21,1039.63,1031.93,1034.82,1045959758,9391060000000.0,438031000000000.0,-0.213108589,일반언론,0.3108233117483811,0.11840888066604996,0.5707678075855689,1081.0,네이버금융,0.6875,0.25,0.0625,16,336.0,128.0,617.0,11.0,4.0,1.0
20210928,1034.04,1034.07,1012.51,1012.51,1396083037,11058100000000.0,428896000000000.0,-2.1559305,일반언론,0.2537313432835821,0.11641791044776119,0.6298507462686567,670.0,네이버금융,0.7333333333333333,0.13333333333333333,0.13333333333333333,15,170.0,78.0,422.0,11.0,2.0,2.0
20210929,994.61,1004.85,989.07,1001.46,1313134191,10231100000000.0,424693000000000.0,-1.091347246,일반언론,0.3022556390977444,0.09924812030075188,0.5984962406015037,665.0,네이버금융,0.8571428571428571,0.07142857142857142,0.07142857142857142,14,201.0,66.0,398.0,12.0,1.0,1.0
20210930,1001.92,1010.03,999.58,1003.27,1290217375,10377000000000.0,425618000000000.0,0.180736125,일반언론,0.28251748251748254,0.11048951048951049,0.606993006993007,715.0,네이버금융,0.5625,0.375,0.0625,16,202.0,79.0,434.0,9.0,6.0,1.0
20211001,998.7,1002.68,982.26,983.2,1371271438,11792100000000.0,416952000000000.0,-2.000458501,일반언론,0.26995645863570394,0.07402031930333818,0.6560232220609579,689.0,네이버금융,0.9375,0.0,0.0625,16,186.0,51.0,452.0,15.0,0.0,1.0
20211005,974.24,974.24,950.09,955.37,1346265019,11661400000000.0,405150000000000.0,-2.830553295,일반언론,0.2991913746630728,0.11230907457322552,0.5884995507637018,1113.0,네이버금융,0.5,0.2,0.3,20,333.0,125.0,655.0,10.0,4.0,6.0
20211006,962.62,967.67,922.36,922.36,1651916244,13277900000000.0,392728000000000.0,-3.455205836,일반언론,0.3079136690647482,0.11654676258992806,0.5755395683453237,695.0,네이버금융,0.6923076923076923,0.3076923076923077,0.0,13,214.0,81.0,400.0,9.0,4.0,0.0
20211007,932.65,953.48,932.32,953.43,1353557216,10685900000000.0,406546000000000.0,3.368532894,일반언론,0.31520223152022314,0.08647140864714087,0.5983263598326359,717.0,네이버금융,0.21428571428571427,0.7857142857142857,0.0,14,226.0,62.0,429.0,3.0,11.0,0.0
20211008,959.81,961.72,948.02,953.11,1339875035,11200300000000.0,406605000000000.0,-0.0335630303,일반언론,0.2938076416337286,0.11462450592885376,0.5915678524374176,759.0,네이버금융,0.4666666666666667,0.4,0.13333333333333333,15,223.0,87.0,449.0,7.0,6.0,2.0
20211012,951.12,951.12,936.95,940.15,1142383534,8629240000000.0,401106000000000.0,-1.359759104,일반언론,0.26339969372128635,0.11485451761102604,0.6217457886676876,653.0,네이버금융,0.875,0.0625,0.0625,16,172.0,75.0,406.0,14.0,1.0,1.0
20211013,939.4,954.63,939.28,953.47,1049502909,9340620000000.0,406746000000000.0,1.416795192,일반언론,0.2768115942028985,0.10289855072463767,0.6202898550724638,690.0,네이버금융,0.4666666666666667,0.5333333333333333,0.0,15,191.0,71.0,428.0,7.0,8.0,0.0
20211014,960.58,983.63,960.52,983.43,1191419853,11105900000000.0,419563000000000.0,3.142206886,일반언론,0.2369186046511628,0.13953488372093023,0.623546511627907,688.0,네이버금융,0.375,0.625,0.0,16,163.0,96.0,429.0,6.0,10.0,0.0
