date,Close,Open,High,Low,Change,Change value,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210830,1164.34,1162.33,1167.71,1161.88,0.0027,3.1099999999999,일반언론,0.3099467140319716,0.09680284191829484,0.5932504440497336,1126.0,네이버금융,0.22727272727272727,0.5454545454545454,0.22727272727272727,22.0,349.0,109.0,668.0,5.0,12.0,5.0
20210831,1158.73,1166.07,1167.43,1155.18,-0.0048,-5.6099999999999,일반언론,0.24431818181818182,0.09090909090909091,0.6647727272727273,704.0,네이버금융,0.2631578947368421,0.631578947368421,0.10526315789473684,19.0,172.0,64.0,468.0,5.0,12.0,2.0
20210901,1155.47,1158.95,1160.64,1154.54,-0.0028,-3.259999999999991,일반언론,0.3195718654434251,0.12996941896024464,0.5504587155963303,654.0,네이버금융,0.5,0.3333333333333333,0.16666666666666666,18.0,209.0,85.0,360.0,9.0,6.0,3.0
20210902,1158.05,1156.08,1162.44,1155.05,0.0022,2.5799999999999272,일반언론,0.2795549374130737,0.10152990264255911,0.6189151599443672,719.0,네이버금융,0.7647058823529411,0.11764705882352941,0.11764705882352941,17.0,201.0,73.0,445.0,13.0,2.0,2.0
20210903,1154.28,1158.23,1159.71,1152.54,-0.0033,-3.769999999999982,일반언론,0.30362537764350456,0.1042296072507553,0.5921450151057401,662.0,네이버금융,0.35714285714285715,0.42857142857142855,0.21428571428571427,14.0,201.0,69.0,392.0,5.0,6.0,3.0
20210906,1157.04,1155.75,1159.97,1154.53,0.0024,2.759999999999991,일반언론,0.2917063870352717,0.09914204003813155,0.6091515729265967,1049.0,네이버금융,0.6363636363636364,0.09090909090909091,0.2727272727272727,22.0,306.0,104.0,639.0,14.0,2.0,6.0
20210907,1161.98,1157.33,1166.02,1155.0,0.0043,4.940000000000055,일반언론,0.2406576980568012,0.11061285500747384,0.648729446935725,669.0,네이버금융,0.6,0.26666666666666666,0.13333333333333333,15.0,161.0,74.0,434.0,9.0,4.0,2.0
20210908,1166.54,1162.16,1168.83,1161.15,0.0039,4.559999999999945,일반언론,0.23809523809523808,0.08630952380952381,0.6755952380952381,672.0,네이버금융,0.875,0.0625,0.0625,16.0,160.0,58.0,454.0,14.0,1.0,1.0
20210909,1169.64,1167.14,1172.21,1166.05,0.0027,3.1000000000001364,일반언론,0.2764456981664316,0.1071932299012694,0.616361071932299,709.0,네이버금융,0.9285714285714286,0.0,0.07142857142857142,14.0,196.0,76.0,437.0,13.0,0.0,1.0
20210910,1170.23,1169.81,1174.13,1164.83,0.0005,0.5899999999999181,일반언론,0.2839160839160839,0.08391608391608392,0.6321678321678321,715.0,네이버금융,0.3125,0.5,0.1875,16.0,203.0,60.0,452.0,5.0,8.0,3.0
